codigo;Empresa;cnpj;estreia_bolsa;funcionarios;fundada;papeis_empresa;cotacao;rent_mes;rent_3_meses;rent_1_ano;rent_2_anos;rent_5_anos;rent_10_anos;rent_real_mes;rent_real_3_meses;rent_real_1_ano;rent_real_2_anos;rent_real_5_anos;rent_real_10_anos;p/l;p/vp;dividend yield;payout;margem liquida;margem bruta;margem ebit;margem ebitda;ev/ebitda;ev/ebit;p/ebitda;p/ebit;p/ativo;p/cap giro;p/ativ circ liq;psr;vpa;lpa;giro ativos;roe;roic;roa;dívida líquida/patrimônio;dívida líquida/ebitda;dívida líquida/ebit;dívida bruta/patrimônio;patrimônio/ativos;passivos/ativos;liquidez corrente;cagr receitas 5 anos;cagr lucros 5 anos;valor mercado;valor firma;patrimorio liquido;total de papeis;ativos;ativo circulante;divida bruta;divida liquida;disponibilidade;segmento listagem;free float;tag along;liquidez media diaria;setor;segmento
AALR3;alliança saúde e participações sa;42771949/0001-35;2016;5677;1992;AALR3;24.12;3.3;6.3;20.84;114.59;86.26;;3.3;6.14;16.34;87.7;41.55;;-11.53;3.15;;;-22.52;30.8;-1.55;9.1;37.15;-218.18;28.55;-167.64;1.11;-11.41;-1.33;2.6;7.67;-2.09;0.43;-27.28;-1.08;-9.24;0.95;8.61;-50.54;1.12;0.35;0.63;0.63;0.4;;2853222000.0;3713447000.0;906947000.0;118292000.0;2571685000.0;433144000.0;1014839000.0;860225000.0;154614000.0;Novo Mercado;35.52;100.00;9537000.0;Saúde;Serviços Médicos. Hospitalares. Análises e Diagnósticos 
ABCB4;banco abc brasil;28195667/0001-06;2007;607;1983;ABCB4;17.75;-0.89;6.35;22.76;29.57;47.29;149.6;-0.89;6.19;18.19;13.33;11.93;39.31;4.91;0.76;8.83;20.26;13.57;22.15;20.7;;;3.22;;3.22;0.07;6.23;-0.08;0.67;23.46;3.61;0.11;15.4;23.24;1.53;;;;;0.1;0.92;1.39;20.24;14.42;4013099000.0;4013099000.0;5303106000.0;226090000.0;53540447000.0;2304120000.0;2304116000.0;;;100.00;;;;;
ABEV3;ambev;07526557/0001-00;2013;29607;2005;ABEV3;14.74;-3.28;-0.07;4.7;-9.9;-7.91;24.39;-3.28;-0.22;0.8;-21.19;-30.02;-30.58;15.75;2.73;5.17;81.45;18.03;49.71;22.46;29.98;9.11;12.16;9.47;12.64;1.71;-915.3;-2.32;2.84;5.4;0.94;0.6;17.35;19.98;11.21;-0.1;-0.36;-0.48;0.04;0.63;0.62;0.99;10.24;5.99;232211502000.0;223421502000.0;84999600000.0;15753833000.0;135466700000.0;35378700000.0;3789400000.0;-8790000000.0;12579400000.0;Tradicional;27.89;80.00;459285000.0;Consumo não Cíclico;Cervejas e Refrigerantes 
AERI3;aeris;12528708/0001-07;;;2010;AERI3;1.22;-18.12;-9.63;-54.48;-88.19;;;-18.12;-9.77;-56.18;-89.67;;;-8.05;1.08;;-45.1;-4.2;13.11;9.21;11.2;6.22;7.56;3.02;3.67;0.28;0.93;-0.78;0.34;1.13;-0.15;0.84;-13.47;8.9;-3.53;1.15;3.2;3.89;2.11;0.26;0.74;1.93;;;934780000.0;1924367000.0;862600000.0;766213000.0;3288865000.0;2089068000.0;1818500000.0;989587000.0;828913000.0;Nível 1;29.64;100.00;78532000.0;Bens Industriais;Máquinas e Equipamentos Industriais 
AESB3;aes brasil energia;37663076/0001-07;2021;;2020;AESB3;11.8;-4.84;12.7;13.74;-13.86;18.2;;-4.84;12.53;9.5;-24.65;-10.18;;56.13;1.61;0.91;51.11;4.28;33.16;25.99;44.11;11.51;19.54;5.45;9.25;0.35;2.2;-0.47;2.4;7.31;0.21;0.15;2.88;4.11;1.55;1.79;6.06;10.29;2.69;0.22;0.72;2.8;;;7102742000.0;15002769000.0;4401600000.0;601927000.0;20021297000.0;5033325000.0;11846527000.0;7900027000.0;3946500000.0;Novo Mercado;52.37;100.00;17340000.0;Utilidade Pública;Energia Elétrica 
AFLT3;afluente;10338320/0001-00;2010;;2008;AFLT3;9.51;0.11;8.82;10.04;0.01;86.4;;0.11;8.66;5.94;-12.52;41.65;;15.3;2.21;2.76;42.25;48.95;59.72;49.97;49.23;14.73;14.51;15.21;14.99;1.95;10.31;-2.58;7.49;4.3;0.62;0.26;14.46;13.28;12.72;-0.07;-0.48;-0.47;;0.88;0.12;4.34;18.92;11.64;599935000.0;581047000.0;271165000.0;63084000.0;308210000.0;75644000.0;286000.0;-18888000.0;19174000.0;Tradicional;1.37;;5000.0;Utilidade Pública;Energia Elétrica 
AGRO3;brasilagro;07628528/0001-59;2006;322;2005;AGRO3;24.7;4.35;-0.88;22.11;10.61;165.45;321.21;4.35;-1.03;17.56;-3.25;101.72;135.08;44.41;1.24;13.11;582.35;4.93;14.46;5.37;19.1;14.44;51.31;11.46;40.71;0.76;3.34;-1.28;2.19;19.91;0.56;0.35;2.79;1.65;1.71;0.32;2.98;10.6;0.45;0.61;0.39;2.25;16.19;-24.42;2528712000.0;3186994000.0;2037981000.0;102377000.0;3332824000.0;1361363000.0;909640000.0;658282000.0;251358000.0;Novo Mercado;50.57;100.00;14598000.0;Consumo não Cíclico;Agricultura 
AGXY3;agrogalaxy;25262307/0001-91;;;;AGXY3;5.6;-7.89;-26.7;-24.63;;;;-7.89;-26.81;-27.44;;;;21.7;0.66;;-43.63;0.39;12.27;5.16;6.19;3.12;3.74;1.38;1.65;0.09;1.1;-0.55;0.09;8.45;0.26;1.01;3.06;14.23;1.7;0.84;1.75;2.09;1.4;0.13;0.87;1.1;;;956619000.0;2170890000.0;1442665000.0;170824000.0;11105489000.0;9371375000.0;2013470000.0;1214271000.0;799199000.0;Nível 1;37.88;100.00;10452000.0;Consumo não Cíclico;Agricultura 
AHEB3;são paulo turismo sa;62002886/0001-60;1977;474;1968;AHEB6. AHEB5. AHEB3;22.09;-0.05;10.45;;-23.56;;;-0.05;10.28;;-33.14;;;2.87;26.05;;;15.94;40.25;24.45;25.9;1.38;1.47;1.76;1.87;0.52;5.06;-0.88;0.46;0.85;7.7;1.14;908.71;692.15;18.19;-5.56;-0.38;-0.4;0.65;0.02;0.98;1.34;39.53;;188247000.0;147980000.0;7244000.0;8543000.0;361856000.0;148236000.0;4721000.0;-40267000.0;44988000.0;Tradicional;3.25;;13000.0;Consumo Cíclico;Produção de Eventos e Shows 
AHEB5;são paulo turismo sa;62002886/0001-60;1977;474;1968;AHEB6. AHEB5. AHEB3;18.5;;-15.91;;;;;;-16.04;-3.72;;;;2.4;21.82;;;15.94;40.25;24.45;25.9;1.38;1.47;1.48;1.57;0.44;4.24;-0.74;0.38;0.85;7.7;1.14;908.71;692.15;18.19;-5.56;-0.38;-0.4;0.65;0.02;0.98;1.34;39.53;;188247000.0;147980000.0;7244000.0;8543000.0;361856000.0;148236000.0;4721000.0;-40267000.0;44988000.0;Tradicional;3.25;;3000.0;Consumo Cíclico;Produção de Eventos e Shows 
